,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount Clean,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount
897,2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,CAFETERIA UPGRADE,Design,Complete,2022-09-13,2023-01-13,2023-01-27,104750.0,164761.0,164761.0
898,2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,CAFETERIA UPGRADE,Construction,Complete,2023-06-05,2024-10-01,2024-10-01,2356875.0,2304090.0,2117273.0
899,2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,CAFETERIA UPGRADE,"CM,F&E",Complete,2023-06-05,2024-10-01,2024-10-01,146650.0,90650.0,90650.0
911,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,ATHLETIC FIELD UPGRADE,Scope,Complete,2019-08-15,2020-02-03,2020-01-24,83930.0,145243.0,145243.0
912,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,ATHLETIC FIELD UPGRADE,Design,In-Progress,2022-04-18,2022-10-11,,419648.0,461207.0,288462.0
913,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,ATHLETIC FIELD UPGRADE,Construction,PNS,,,,9442071.0,9442071.0,159874.0
914,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,ATHLETIC FIELD UPGRADE,"CM,F&E",PNS,,,,587507.0,587507.0,43190.0
915,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,FIELD HOUSE,Scope,Complete,2024-06-18,2024-10-18,2024-12-13,218485.0,113329.0,30282.0
916,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,FIELD HOUSE,Design,In-Progress,2024-12-18,2025-07-18,,1019598.0,1019598.0,46394.0
917,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,FIELD HOUSE,Construction,PNS,,,,16167911.0,16167911.0,12073.0
918,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,FIELD HOUSE,"CM,F&E",PNS,,,,1602225.0,1602225.0,89198.0
919,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,DEMOLITION OF EXISTING FIELD HOUSE,Scope,Complete,2024-10-08,2025-01-08,2024-12-13,16780.0,12973.0,728.0
920,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,DEMOLITION OF EXISTING FIELD HOUSE,Design,In-Progress,2024-12-24,2025-04-11,,67122.0,67122.0,2911.0
921,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,DEMOLITION OF EXISTING FIELD HOUSE,Construction,PNS,,,,964872.0,964872.0,0.0
922,2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,DEMOLITION OF EXISTING FIELD HOUSE,"CM,F&E",PNS,,,,247511.0,247511.0,24257.0
923,2,M523,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,3K,LEASE,Scope,Complete,2021-11-01,2021-12-21,2022-01-31,216951.0,327092.0,202528.0
924,2,M523,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,3K,LEASE,Design,Complete,2022-02-01,2022-02-18,2023-04-05,976282.0,695172.0,589639.0
925,2,M523,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,3K,LEASE,Construction,In-Progress,2023-10-18,2024-09-03,,12311996.0,13529633.0,12936723.0
926,2,M523,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,3K,LEASE,"CM,F&E",In-Progress,2023-10-18,2024-09-03,,1887927.0,574921.0,1571407.0
927,2,M524,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,3K,LEASE,Scope,Complete,2022-02-04,2022-03-04,2022-03-11,268658.0,265865.0,247841.0
928,2,M524,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,3K,LEASE,Design,Complete,2022-03-14,2022-06-10,2023-02-06,1208963.0,1357900.0,1163757.0
929,2,M524,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,3K,LEASE,Construction,Complete,2023-02-27,2023-09-03,2024-11-25,15246363.0,16180804.0,15718186.0
930,2,M524,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,3K,LEASE,"CM,F&E",Complete,2023-02-27,2023-09-03,2024-11-25,2149267.0,711945.0,1687057.0
931,2,M533,HARBOR HIGH SCHOOL ATHLETIC COMPLEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Scope,Complete,2022-10-04,2023-02-01,2023-02-01,2396800.0,1691712.0,1436339.0
932,2,M533,HARBOR HIGH SCHOOL ATHLETIC COMPLEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Design,Complete,2023-02-02,2023-10-04,2024-05-09,10785600.0,5568179.0,4994993.0
933,2,M533,HARBOR HIGH SCHOOL ATHLETIC COMPLEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Construction,In-Progress,2024-11-13,2027-09-03,,136018400.0,120677110.0,1605293.0
934,2,M533,HARBOR HIGH SCHOOL ATHLETIC COMPLEX - MANHATTAN,SCA Lease Site Improvement,LEASE,"CM,F&E",In-Progress,2024-11-13,2027-09-03,,19174400.0,7560683.0,642925.0
935,2,M535,MANHATTAN BRIDGES - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,Scope,Complete,2021-11-10,2022-03-31,2022-01-25,160567.0,133737.0,133737.0
936,2,M535,MANHATTAN BRIDGES - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,Design,Complete,2022-02-01,2022-07-01,2022-05-12,793146.0,553878.0,518815.0
937,2,M535,MANHATTAN BRIDGES - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,Construction,In-Progress,2022-07-18,2024-07-16,,17007903.0,16322564.0,14959829.0
938,2,M535,MANHATTAN BRIDGES - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,"CM,F&E",In-Progress,2022-07-18,2024-07-16,,1196615.0,1204702.0,1204215.0
939,2,M535,URBAN ASSEMBLY HS - MANHATTAN,SCA Furniture & Equipment,FY22 RESO A MOBILE SCIENCE LABS,F&E,PNS,,,,100000.0,100000.0,0.0
940,2,M535,FACING HISTORY SCHOOL - MANHATTAN,SCA Furniture & Equipment,FY22 RESO A MOBILE SCIENCE LAB,F&E,In-Progress,2025-03-04,,,77000.0,77000.0,0.0
945,2,M600,FASHION INDUSTRIES VOC HS - M,SCA CIP RESOA,FY25 RESO A ROOM CONVERSION,Scope,In-Progress,2025-03-28,2025-07-16,,0.0,0.0,0.0
946,2,M600,FASHION INDUSTRIES VOC HS - M,SCA CIP RESOA,FY25 RESO A ROOM CONVERSION,Design,PNS,,,,6000.0,6000.0,0.0
947,2,M600,FASHION INDUSTRIES VOC HS - M,SCA CIP RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,,,,88000.0,88000.0,0.0
948,2,M600,FASHION INDUSTRIES VOC HS - M,SCA CIP RESOA,FY25 RESO A ROOM CONVERSION,"CM,F&E",PNS,,,,6000.0,6000.0,0.0
959,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS,Scope,Complete,2015-10-02,2016-02-23,2016-04-25,176283.0,197110.0,197110.0
960,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS,Design,Complete,2018-10-10,2019-03-15,2019-05-02,865743.0,507479.0,487077.0
961,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS,Construction,PNS,,,,18965971.0,18965971.0,461479.0
962,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS,"CM,F&E",PNS,,,,1257488.0,1257488.0,43974.0
963,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,CHARTER MATCH INTERIOR SPACES,Scope,Complete,2019-09-11,2020-01-13,2019-12-18,8140.0,11171.0,11171.0
964,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,CHARTER MATCH INTERIOR SPACES,Design,Complete,2020-01-08,2020-06-15,2020-06-30,36630.0,40469.0,36724.0
965,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,CHARTER MATCH INTERIOR SPACES,Construction,In-Progress,2022-03-30,2022-12-24,,472120.0,483127.0,378000.0
966,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,CHARTER MATCH INTERIOR SPACES,"CM,F&E",In-Progress,2022-03-30,2022-12-24,,205263.0,181087.0,176730.0
967,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP RESOA,FY22 RESO ESCALATOR UPGRADE,Scope,Complete,2022-05-31,2022-08-29,2022-12-22,0.0,40189.0,40189.0
968,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP RESOA,FY22 RESO ESCALATOR UPGRADE,Design,PNS,,,,45000.0,4811.0,1724.0
969,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP RESOA,FY22 RESO ESCALATOR UPGRADE,Construction,PNS,,,,660000.0,23906598.0,0.0
970,2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP RESOA,FY22 RESO ESCALATOR UPGRADE,"CM,F&E",PNS,,,,45000.0,1629995.0,6051.0
982,2,M634,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Scope,Complete,2014-09-16,2014-10-31,2014-10-27,716528.0,906435.0,904024.0
983,2,M634,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Design,Complete,2014-10-28,2015-04-15,2019-04-19,3224378.0,4471960.0,3550326.0
984,2,M634,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Construction,In-Progress,2024-08-19,2026-09-03,,40662990.0,37876436.0,6306185.0
985,2,M634,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,SCA Lease Site Improvement,LEASE,"CM,F&E",In-Progress,2024-08-19,2026-09-03,,5732228.0,3150370.0,501689.0
986,2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS,Scope,Complete,2019-06-19,2019-11-04,2020-01-30,266212.0,299365.0,298009.0
987,2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS,Design,Complete,2020-02-05,2020-07-07,2021-10-28,1321071.0,1126646.0,898523.0
988,2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS,Construction,In-Progress,2023-08-15,2026-02-09,,28859726.0,25935808.0,8437074.0
989,2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS,"CM,F&E",In-Progress,2023-08-15,2026-02-09,,1938432.0,1096533.0,1080594.0
990,2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2023-03-17,2023-07-18,2023-03-21,4200.0,3708.0,3708.0
991,2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2023-03-21,2023-09-14,2023-05-04,18900.0,14832.0,14832.0
992,2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2024-03-13,2025-01-06,,243600.0,219638.0,7538.0
993,2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2024-03-13,2025-01-06,,130083.0,109224.0,73237.0
1002,2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,SCA CIP,FIRE ALARM SYSTEM / VENTILATION,Scope,Complete,2021-05-18,2021-08-17,2022-06-15,75078.0,93278.0,93278.0
1003,2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,SCA CIP,FIRE ALARM SYSTEM / VENTILATION,Design,Complete,2022-06-16,2022-12-20,2023-05-05,375390.0,379853.0,328990.0
1004,2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,SCA CIP,FIRE ALARM SYSTEM / VENTILATION,Construction,In-Progress,2023-08-07,2025-08-05,,8446279.0,8078304.0,6178430.0
1005,2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,SCA CIP,FIRE ALARM SYSTEM / VENTILATION,"CM,F&E",In-Progress,2023-08-07,2025-08-05,,525546.0,324960.0,319404.0
1010,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY,Scope,Complete,2021-02-24,2021-07-09,2021-12-07,39450.0,135881.0,128322.0
1011,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY,Design,Complete,2021-12-15,2022-05-18,2022-05-10,184374.0,143296.0,116121.0
1012,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY,Construction,PNS,,,,3034531.0,3034531.0,264918.0
1013,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY,"CM,F&E",PNS,,,,372726.0,372726.0,61721.0
1014,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-09-02,2023-01-06,2022-10-28,6200.0,11767.0,11767.0
1015,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-10-28,2023-04-27,2023-03-08,27900.0,47071.0,47071.0
1016,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-09-08,2024-07-03,,359600.0,322548.0,289029.0
1017,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-09-08,2024-07-03,,189922.0,175740.0,124365.0
1018,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,FY24 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Scope,Complete,2023-12-06,2024-04-09,2024-05-17,0.0,15480.0,15480.0
1019,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,FY24 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Design,Complete,2024-05-21,2024-10-07,2024-12-20,35493.0,48339.0,43026.0
1020,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,FY24 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Construction,PNS,,,,520563.0,520563.0,2858.0
1021,2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,FY24 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,"CM,F&E",PNS,,,,35493.0,35955.0,31919.0
1027,2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,FACADE REMEDIATION / WINDOWS / PARAPETS / FLOOD ELIMINATION / PATH OF TRAVEL FLOOD ELIMINATION,Scope,Complete,2019-03-07,2020-07-08,2020-06-22,61612.0,162061.0,157142.0
1028,2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,FACADE REMEDIATION / WINDOWS / PARAPETS / FLOOD ELIMINATION / PATH OF TRAVEL FLOOD ELIMINATION,Design,Complete,2020-06-22,2020-08-03,2020-06-30,288665.0,336372.0,247739.0
1029,2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,FACADE REMEDIATION / WINDOWS / PARAPETS / FLOOD ELIMINATION / PATH OF TRAVEL FLOOD ELIMINATION,Construction,In-Progress,2022-01-03,2023-08-25,,4817622.0,4730499.0,4233045.0
1030,2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,FACADE REMEDIATION / WINDOWS / PARAPETS / FLOOD ELIMINATION / PATH OF TRAVEL FLOOD ELIMINATION,"CM,F&E",In-Progress,2022-01-03,2023-08-25,,576714.0,693528.0,683100.0
1033,2,M777,M000 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL CAFETERIA UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
1034,2,M777,M000 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL CAFETERIA UPGRADE,Design,PNS,,,,0.0,0.0,0.0
1035,2,M777,M000 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL CAFETERIA UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
1036,2,M777,M000 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL CAFETERIA UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
1046,2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP,UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION,Scope,Complete,2019-05-20,2019-09-23,2019-07-18,140676.0,221034.0,221034.0
1047,2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP,UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION,Design,Complete,2019-07-24,2019-12-26,2019-12-05,696032.0,1287087.0,1063750.0
1048,2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP,UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION,Construction,In-Progress,2023-06-14,2025-02-02,,15025246.0,13538747.0,11466124.0
1049,2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP,UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2023-06-14,2025-02-02,,1227937.0,1154395.0,729523.0
1053,2,M833,HS FOR ECONOMICS & FINANCE - M,SCA CIP,ABSORBER REPLACEMENT / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,2019-08-12,2019-12-13,2020-03-30,70701.0,55514.0,55514.0
1054,2,M833,HS FOR ECONOMICS & FINANCE - M,SCA CIP,ABSORBER REPLACEMENT / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,2020-03-31,2020-07-17,2020-06-19,344503.0,213611.0,209189.0
1055,2,M833,HS FOR ECONOMICS & FINANCE - M,SCA CIP,ABSORBER REPLACEMENT / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,,,,6914315.0,6914315.0,13557.0
1056,2,M833,HS FOR ECONOMICS & FINANCE - M,SCA CIP,ABSORBER REPLACEMENT / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,,,,503904.0,503904.0,72071.0
1057,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,HEATING PLANT UPGRADE,Scope,Complete,2021-06-24,2021-11-26,2022-01-19,34972.0,61042.0,61042.0
1058,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,HEATING PLANT UPGRADE,Design,Complete,2022-01-20,2022-06-21,2022-10-27,174858.0,194360.0,170505.0
1059,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,HEATING PLANT UPGRADE,Construction,PNS,,,,3934303.0,3934303.0,9081.0
1060,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,HEATING PLANT UPGRADE,"CM,F&E",PNS,,,,244801.0,244801.0,8939.0
1061,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
1062,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Design,PNS,,,,0.0,0.0,0.0
1063,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
1064,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,"CM,F&E",PNS,,,,0.0,387.0,387.0
1065,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,FY24 RESO A CULINARY KITCHEN,Scope,Complete,2023-12-06,2024-03-25,2024-07-19,35253.0,35253.0,35253.0
1066,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,FY24 RESO A CULINARY KITCHEN,Design,In-Progress,2024-07-30,2025-01-02,,120043.0,120043.0,84738.0
1067,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,FY24 RESO A CULINARY KITCHEN,Construction,PNS,,,,763600.0,763600.0,11234.0
1068,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,FY24 RESO A CULINARY KITCHEN,"CM,F&E",PNS,,,,52064.0,52064.0,43426.0
1069,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Scope,Complete,2024-07-09,2024-10-08,2024-11-15,0.0,0.0,0.0
1070,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Design,In-Progress,2024-11-18,2025-03-20,,1936.0,1936.0,0.0
1071,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Construction,PNS,,,,32273.0,32273.0,0.0
1072,2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,"CM,F&E",PNS,,,,3675.0,3675.0,3675.0
1078,2,M844,M721 SPED - MANHATTAN,SCA CIP,FLOOD ELIMINATION,Scope,Complete,2023-12-12,2024-04-29,2024-07-09,1342.0,1342.0,1342.0
1079,2,M844,M721 SPED - MANHATTAN,SCA CIP,FLOOD ELIMINATION,Design,Complete,2024-07-24,2024-12-26,2025-01-08,666.0,666.0,666.0
1080,2,M844,M721 SPED - MANHATTAN,SCA CIP,FLOOD ELIMINATION,Construction,PNS,,,,3614.0,3614.0,3614.0
1081,2,M844,M721 SPED - MANHATTAN,SCA CIP,FLOOD ELIMINATION,"CM,F&E",PNS,,,,1636.0,1636.0,1636.0
1082,2,M844,M721 SPED - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Scope,Complete,2023-12-12,2024-04-29,2024-07-09,9755.0,9755.0,9755.0
1083,2,M844,M721 SPED - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Design,Complete,2024-07-24,2024-12-26,2025-01-08,4843.0,4843.0,4843.0
1084,2,M844,M721 SPED - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Construction,PNS,,,,3614.0,3614.0,3614.0
1085,2,M844,M721 SPED - MANHATTAN,SCA CIP,EXTERIOR MASONRY,"CM,F&E",PNS,,,,13042.0,13042.0,13042.0
1086,2,M844,M721 SPED - MANHATTAN,SCA CIP,ROOFS,Scope,Complete,2023-12-12,2024-04-29,2024-07-09,42327.0,42327.0,39616.0
1087,2,M844,M721 SPED - MANHATTAN,SCA CIP,ROOFS,Design,Complete,2024-07-24,2024-12-26,2025-01-10,51702.0,51702.0,26009.0
1088,2,M844,M721 SPED - MANHATTAN,SCA CIP,ROOFS,Construction,PNS,,,,15729.0,15729.0,10029.0
1089,2,M844,M721 SPED - MANHATTAN,SCA CIP,ROOFS,"CM,F&E",PNS,,,,30230.0,30230.0,27263.0
1101,2,M873,MANHATTAN VILLAGE ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2023-05-24,2023-09-25,2023-06-15,3327.0,678.0,678.0
1102,2,M873,MANHATTAN VILLAGE ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2023-06-15,2023-12-13,2023-08-30,14970.0,2713.0,2713.0
1103,2,M873,MANHATTAN VILLAGE ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2024-02-09,2025-01-03,,192950.0,179601.0,107538.0
1104,2,M873,MANHATTAN VILLAGE ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2024-02-09,2025-01-03,,49174.0,155586.0,154761.0
1109,2,M877,NEW YORK HARBOR SCHOOL - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,2023-02-08,2023-05-09,,0.0,23778.0,378.0
1110,2,M877,NEW YORK HARBOR SCHOOL - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,,,,96000.0,72222.0,1514.0
1111,2,M877,NEW YORK HARBOR SCHOOL - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,1408000.0,1408000.0,0.0
1112,2,M877,NEW YORK HARBOR SCHOOL - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,96000.0,96000.0,61.0
1113,2,M877,NEW YORK HARBOR SCHOOL - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,In-Progress,2024-08-02,2024-11-04,,0.0,0.0,0.0
1114,2,M877,NEW YORK HARBOR SCHOOL - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,,0.0,0.0,0.0
1115,2,M877,NEW YORK HARBOR SCHOOL - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
1116,2,M877,NEW YORK HARBOR SCHOOL - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
1121,2,M894,HS FOR LEADERSHIP & PUBLIC SERV-M,SCA CIP,EMERGENCY GENERATOR REPLACEMENT,Scope,Complete,2019-07-17,2019-11-18,2021-03-11,5770.0,11587.0,11587.0
1122,2,M894,HS FOR LEADERSHIP & PUBLIC SERV-M,SCA CIP,EMERGENCY GENERATOR REPLACEMENT,Design,In-Progress,2021-04-09,2021-09-09,,25963.0,81173.0,56465.0
1123,2,M894,HS FOR LEADERSHIP & PUBLIC SERV-M,SCA CIP,EMERGENCY GENERATOR REPLACEMENT,Construction,PNS,,,,334636.0,334636.0,5559.0
1124,2,M894,HS FOR LEADERSHIP & PUBLIC SERV-M,SCA CIP,EMERGENCY GENERATOR REPLACEMENT,"CM,F&E",PNS,,,,62023.0,62023.0,20127.0
1133,2,M920,SATELLITE ACADEMY - M,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-10-13,2023-02-15,2022-10-28,4780.0,6694.0,6694.0
